URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME TIRE – DATE DIFFERENTE				
<http://data.doremus.org/performance/1386ad04-a768-3b93-af13-980357c76121>	1040876.ttl	Les Dissonances : David Grimal	2015-10-06T20:30	
				
<http://data.doremus.org/performance/17f948eb-bac1-3895-9884-8bb418a6fed5>	13187.ttl	Les Dissonances - David Grimal	2014-05-25T16:30	Similarité :1.0
<http://data.doremus.org/performance/8ae7da6a-8728-39ac-bf83-13e2157c200c>	1030927.ttl	Les Dissonances, David Grimal	2015-02-09T20:30	
				
<http://data.doremus.org/performance/0262f0be-fbf6-3f1f-9ad2-15e63c9be94b>	14242.ttl	Orchestre de Paris / Paavo Järvi / Vadim Repin	2015-06-18T20:30	Similarité :1.0
<http://data.doremus.org/performance/1eda96be-f3d1-3faf-a10a-b9e657ef4980>	0950803.ttl	Orchestre de Paris, Paavo Järvi, Vadim Repin	2014-03-16T16:30	
				
<http://data.doremus.org/performance/b652f36e-24e9-3e9e-9dc2-d46c8d7211ff>	13311.ttl	Orchestre de Paris - Bertrand de Billy	2013-11-30T20:00	Similarité :1.0
<http://data.doremus.org/performance/8164acc9-061e-316c-b8d2-d4770925decc>	1011154.ttl	Orchestre de Paris, Bertrand de Billy	2013-11-28T20:00	
				
<http://data.doremus.org/performance/df7fe1f9-db4e-3dbc-abd9-f60315976300>	14270.ttl	Maurizio Pollini	2015-03-30T20:30	Similarité :1.0
<http://data.doremus.org/performance/21a2603d-10a5-3ed8-86b9-09fdbe6d0955>	0947333.ttl	Maurizio Pollini	2018-03-29T21:44	
				
<http://data.doremus.org/performance/20279de1-4ad3-3249-b829-effc3ec581cd>	13419.ttl	Orchestre de Paris - Paavo Järvi - Nicholas Angelich	2014-04-24T20:00	Similarité :1.0
<http://data.doremus.org/performance/cf6be4f3-f732-306b-9491-d378e1aa782c>	1016964.ttl	Orchestre de Paris, Paavo Järvi, Nicholas Angelich	2014-04-23T20:00	
				
<http://data.doremus.org/performance/749b82f3-5670-3060-b2fe-698615c38837>	14057.ttl	Ensemble intercontemporain - Tito Ceccherini	2015-01-16T20:30	Similarité :1.0
<http://data.doremus.org/performance/c74e60ce-6e2f-3363-a1ca-912fdae2698a>	1029404.ttl	Ensemble intercontemporain, Tito Ceccherini	2018-03-29T21:50	
				
<http://data.doremus.org/performance/0d098937-2e30-3d2d-84c9-5170fed1ace9>	13319.ttl	Orchestre de Paris - Kristjan Järvi - Yamandu Costa - Alessandro Kramer	2013-12-04T20:00	Similarité :1.0
<http://data.doremus.org/performance/4abd385b-38c8-3daf-82c5-5478b99bf56e>	1011998.ttl	Orchestre de Paris, Kristjan Järvi, Yamandu Costa, Alessandro Kramer	2018-03-29T21:44	
				
<http://data.doremus.org/performance/febb15e9-dd0e-357c-bcc9-5f60edff95c3>	13367.ttl	Orchestre du Théâtre Mariinsky - Valery Gergiev	2018-03-22T17:09	Similarité :1.0
<http://data.doremus.org/performance/de3300f6-e5f2-3371-812c-ed56de326b1d>	1014019.ttl	Orchestre du Théâtre Mariinsky, Valery Gergiev	2014-02-17T20:00	
				
