URI	Nom du Fichier	P102 has title	"P4 has time-span 
U8 foresees time span"	Similarité
				
				
MEME DATE – TITRE LEGEREMENT DIFFERENT				
<http://data.doremus.org/performance/8a75afa9-f282-3e8c-9466-d0c923b303ac>	0967509.ttl	5e biennale d'art vocal. Le jardin de Monsieur Lully	2011-06-07T20:30	
				
<http://data.doremus.org/performance/e5a10d70-26fa-3d57-b0ae-7f7cadb0e6af>	10952.ttl	Orchestre Philharmonique de Radio France - Lionel Bringuier - Nelson Freire	2011-04-08T20:00	Similarité :0.8420000000000001
<http://data.doremus.org/performance/5cd25d41-ce2e-3e74-9eba-833b15a9d9b3>	0963902.ttl	Orchestre Philharmonique de Radio France. Nelson Freire	2011-04-08T20:00	
				
<http://data.doremus.org/performance/8fc77d2a-4e36-3592-843a-c805f5b35e3e>	11016.ttl	London Symphony Orchestra - Valery Gergiev	2011-03-28T20:00	Similarité :0.7895000000000001
<http://data.doremus.org/performance/3d25a05c-b9be-3da5-b6bf-72db19b529e9>	0960360.ttl	London Symphony Orchestra	2011-03-28T20:00	
				
<http://data.doremus.org/performance/17e03e19-59e6-37ea-805b-7e311e945a0b>	10998.ttl	Budapest Festival Orchestra - Iván Fischer - Petra Lang	2011-03-05T20:00	Similarité :0.739
<http://data.doremus.org/performance/3c0ca17a-467e-3286-bb2b-9ea3acfeb569>	0960343.ttl	Budapest Festival Orchestra	2011-03-05T20:00	
				
<http://data.doremus.org/performance/43c700d9-369f-36ea-b890-7baab658998a>	11929.ttl	The Velvet Underground Revisited 	2011-07-07T20:00	Similarité :0.7115
<http://data.doremus.org/performance/e201ca90-7dc8-395a-aca4-411977bb78a5>	0993793.ttl	Festival Days Off. The Velvet Underground Revisited	2011-07-07T20:00	
				
<http://data.doremus.org/performance/476facca-566f-33ae-be74-e63da19ffb9b>	10705.ttl	Chamber Orchestra of Europe / V. Jurowski - J. Bell	2010-12-17T20:00	Similarité :0.845
<http://data.doremus.org/performance/f365b71a-e7d2-3719-89ba-79927e43ebb8>	0955272.ttl	Chamber Orchestra of Europe. Vladimir Jurowski. Joshua Bell	2010-12-17T20:00	
				
<http://data.doremus.org/performance/ce6cf64e-6096-3433-b41a-dd4904d62445>	10925.ttl	Orchestre Philharmonique de Radio France - Manfred Honeck - Tedi Papavrami	2011-01-07T20:00	Similarité :0.7444999999999999
<http://data.doremus.org/performance/15198688-34bd-373e-b4e0-7a359bba4e9b>	0956005.ttl	Orchestre Philharmonique de Radio France	2011-01-07T20:00	
				
<http://data.doremus.org/performance/8da059f2-1ab5-3c7a-b737-aa18f817cebe>	13129.ttl	La Chambre Philharmonique	2013-10-12T20:00	Similarité :0.7595000000000001
<http://data.doremus.org/performance/a0c68b9b-034f-3471-9ccc-23d3b7aa8fa1>	1010181.ttl	Fleuves. La Chambre Philharmonique	2013-10-12T20:00	
				
<http://data.doremus.org/performance/16711a7f-87e9-3c24-9c28-5adca114db58>	12757.ttl	Wild Beasts - Other Lives	2012-07-06T20:00	Similarité :0.638
<http://data.doremus.org/performance/f0c2439d-f98b-353a-b2da-31233ac36983>	0989993.ttl	Festival Days Off : Other Lives	2012-07-06T20:00	
				
<http://data.doremus.org/performance/4242ce14-a43f-343f-a6cd-9e350fc160ac>	11514.ttl	The Tiger Lillies	2012-02-09T20:00	Similarité :0.6905
