URI	Nom du Fichier	P102 has title	P4 has time-span U8 foresees time span	Similarité
<http://data.doremus.org/performance/b9c8c77f-4b81-3057-8772-8572846e8f2a>	1029285.ttl	Les Arts Florissants, William Christie	2015-01-16T20:30	
				
<http://data.doremus.org/performance/254365ca-42db-331b-adc2-dd60937a5b8c>	15150.ttl	Concert de Noël	2015-12-22T20:30	Similarité :0.5185
<http://data.doremus.org/performance/fbed1611-5926-32b7-9dbe-068691191f96>	1043813.ttl	Concert de Noël avec bis participatif. Orchestre de chambre de Paris, Accentus	2015-12-22T20:30	
				
<http://data.doremus.org/performance/efb2681a-96f8-3db0-90a3-68332b5f5548>	13509.ttl	Céline Frisch	2014-03-12T19:00	Similarité :0.3275
<http://data.doremus.org/performance/94006dc3-70f2-348e-8686-4d2eeb5e0742>	1014839.ttl	Johann Sebastian Bach. Les Tempéraments	2014-03-12T19:00	
				
<http://data.doremus.org/performance/3b279a38-ab50-36d3-91fa-7901c9a428c5>	14066.ttl	Rising Stars : Michael Petrov - Ashley Fripp	2015-01-24T20:30	Similarité :0.294
<http://data.doremus.org/performance/bfe06cde-99b6-349f-94e8-1861fcb095d5>	1029288.ttl	Week-end Nouvelles vagues. Gustavo Dudamel 1	2015-01-24T20:30	
				
<http://data.doremus.org/performance/1e1b3f29-b992-38c1-900b-d680cce74f59>	15219.ttl	Gruppen	2016-01-30T20:30	Similarité :0.3075
<http://data.doremus.org/performance/168c0e69-47ed-3d1d-b23d-1b58b1ac97d9>	1049601.ttl	Week-end Stockhausen. Gruppen. Ensemble intercontemporain, Orchestre du Conservatoire de Paris	2016-01-30T20:30	
				
<http://data.doremus.org/performance/963729bc-52b5-3137-b61c-44a4f4f8eae3>	13524.ttl	Violaine Cochard	2014-03-18T19:00	Similarité :0.3705
<http://data.doremus.org/performance/3591c761-d53a-3b64-ae6f-852386486969>	1015031.ttl	Johann Sebastian Bach. Les Tempéraments	2014-03-18T19:00	
				
<http://data.doremus.org/performance/0dc2db6c-107c-39aa-8363-7959887c28ac>	13520.ttl	Jean-Luc Ho	2014-03-11T19:00	Similarité :0.366
<http://data.doremus.org/performance/fe810219-3ad0-3469-bc3a-3fbad7afb344>	1014834.ttl	Johann Sebastian Bach. Les Tempéraments	2014-03-11T19:00	
				
<http://data.doremus.org/performance/33762e46-2ed3-3ac0-b316-3d976b7590a4>	14026.ttl	La Chambre Philharmonique - Emmanuel Krivine - Steven Isserlis	2014-12-16T20:00	Similarité :0.4255
<http://data.doremus.org/performance/a11fe853-dfd6-3607-90f2-b83e1f326759>	0241132.ttl	Cité-Jazz. Henri Texier Sonjal Septet	2014-12-16T20:00	
				
<http://data.doremus.org/performance/33762e46-2ed3-3ac0-b316-3d976b7590a4>	14026.ttl	La Chambre Philharmonique - Emmanuel Krivine - Steven Isserlis	2014-12-16T20:00	Similarité :0.4395
<http://data.doremus.org/performance/84bf9d3f-369e-37fb-9634-e63d8738e8df>	0769248.ttl	La transcription. Les Motivés : transcriptions de chants partisans	2014-12-16T20:00	
				
