14542.ttl	rememberastor $date:2018-03-22T17:09	I remember Astor
14194.ttl	galaouverture2 $date:2015-01-15T20:30	Gala d’ouverture 2
15134.ttl	berlinerphilharmoniker $date:2015-11-03T20:30	Berliner Philharmoniker
13368.ttl	orchestretheatremariinskyvalerygergiev $date:2018-03-22T17:09	Orchestre du Théâtre Mariinsky - Valery Gergiev
14326.ttl	orchestrecolonnelaurentpetitgirardroustemsaitkoulov $date:2014-12-14T20:00	Orchestre Colonne - Laurent Petitgirard - Roustem Saitkoulov
14413.ttl	elisabethleonskaja $date:2015-04-15T20:30	Elisabeth Leonskaja
15217.ttl	cabaretcontemporainjouekraftwerk $date:2018-03-22T17:09	Le Cabaret Contemporain joue Kraftwerk
15167.ttl	gewandhausorchesterleipzig $date:2018-03-22T17:09	Gewandhausorchester Leipzig
16577.ttl	histoiresoldat $date:2016-09-18T15:00	L'histoire du soldat
13348.ttl	orchestreparisherbertblomstedt $date:2014-01-23T20:00	Orchestre de Paris - Herbert Blomstedt
13537.ttl	orchestreparisyutakasadojeanyvesthibaudetxaviermaistre $date:2018-03-22T17:09	Orchestre de Paris - Yutaka Sado - Jean-Yves Thibaudet - Xavier de Maistre
15210.ttl	triocatch $date:2016-01-06T20:30	Trio Catch
14022.ttl	turbulencesmarconikodijevic $date:2014-12-05T20:00	Turbulences - Marco Nikodijevic
14118.ttl	antoniorey $date:2018-03-22T17:09	Antonio Rey
14158.ttl	bochefsoeuvremusiqueclassiquecinema $date:2014-12-19T20:00	B.O. Les chefs-d'oeuvre de la musique classique au cinéma
14187.ttl	orchestrenationaliledefranceenriquemazzolacedrictiberghien $date:2014-10-18T20:00	Orchestre National d'Île-de-France - Enrique Mazzola - Cédric Tiberghien
14033.ttl	insulaorchestraaccentuslaurenceequilbey $date:2014-10-11T20:00	Insula Orchestra - Accentus - Laurence Equilbey
16193.ttl	colourstrings $date:2016-06-11T15:00	Colour Strings
13369.ttl	orchestretheatremariinskyvalerygergievvadimrepin $date:2014-02-18T20:00	Orchestre du Théâtre Mariinsky - Valery Gergiev - Vadim Repin
13224.ttl	cedricpesciaseverinvoneckardstein $date:2018-03-22T17:09	Cédric Pescia / Severin von Eckardstein
15290.ttl	stabatmaterdvorak $date:2016-04-28T20:30	Stabat Mater - Dvorák
16549.ttl	faust'sbox $date:2016-09-17T18:00	Faust's Box
14206.ttl	nuitraga $date:2015-01-31T18:00	Nuit du raga
15443.ttl	champagne $date:2015-10-25T20:30	Champagne !
14170.ttl	orchestreparislongyujeanyvesthibaudet $date:2018-03-22T17:09	Orchestre de Paris - Long Yu - Jean-Yves Thibaudet
13498.ttl	quatuorpacifica $date:2014-01-25T17:00	Quatuor Pacifica
13426.ttl	mdrsinfonieorchesterleipzigmdrrundfunkchorleipzigkristjanjärvistevereich $date:2014-05-05T20:00	MDR Sinfonieorchester Leipzig - MDR Rundfunkchor Leipzig - Kristjan Järvi - Steve Reich
13199.ttl	avistempete $date:2014-04-04T20:00	Avis de tempête
13148.ttl	artsflorissants $date:2018-03-22T17:09	Les Arts Florissants
13692.ttl	cartesblanchesconservatoireparis $date:2018-03-22T17:09	Cartes Blanches - Conservatoire de Paris 
15194.ttl	portraitunsukchin $date:2015-11-27T18:30	Portrait Unsuk Chin
13526.ttl	davittmoroney $date:2014-03-19T19:00	Davitt Moroney
15919.ttl	soireecocteau $date:2015-09-26T17:00	Une soirée chez Cocteau
13169.ttl	dissonancesdavidgrimal $date:2014-03-01T16:30	Les Dissonances - David Grimal 
14570.ttl	josejameslauramvula $date:2014-09-11T20:00	José James / Laura Mvula
15141.ttl	prometeo $date:2015-12-07T20:30	Prometeo
13187.ttl	dissonancesdavidgrimal $date:2014-05-25T16:30	Les Dissonances - David Grimal
15259.ttl	requiemallemand $date:2016-03-29T20:30	Requiem allemand
